2016 EO156,4.543,0.757,0.721,28.9,1.292
2010 XF64,4.544,0.757,0.721,26.6,1.400
2011 AU4,4.544,0.757,0.721,25.9,1.069
2013 EN89,4.546,0.758,0.722,26.7,1.397
2015 SH,4.547,0.758,0.722,28.1,1.183
2006 HZ5,4.548,0.758,0.722,24.5,1.202
2014 QD364,4.550,0.758,0.722,27.2,0.989
2016 AO131,4.551,0.759,0.722,24.1,1.312
2015 KE,4.553,0.759,0.723,26.4,0.973
2008 BT2,4.555,0.759,0.723,24.3,1.173
2011 FQ29,4.557,0.759,0.723,25.3,1.330
2015 TZ24,4.559,0.760,0.724,24.1,1.191
2000 FJ10,4.560,0.760,0.724,20.9,1.319
2012 VJ38,4.560,0.760,0.724,28.5,1.359
2011 GR59,4.561,0.760,0.724,23.7,1.253
2012 HB2,4.566,0.761,0.725,25.8,1.389
2007 WZ4,4.567,0.761,0.725,24.3,1.362
2009 PD,4.568,0.761,0.725,24.2,1.266
2005 JT1,4.568,0.761,0.725,25.7,1.418
2010 XD,4.569,0.761,0.725,27.3,1.256
2013 XX8,4.574,0.762,0.726,24.4,1.390
2006 QV89,4.578,0.763,0.727,25.3,1.192
2003 YN1,4.579,0.763,0.727,24.9,1.335
2015 WA13,4.581,0.763,0.727,26.1,1.378
2015 RW83,4.582,0.764,0.727,24.1,1.114
2013 AG53,4.582,0.764,0.727,24.9,1.240
2014 AA,4.586,0.764,0.728,30.9,1.161
2013 RV9,4.588,0.765,0.728,23.6,1.165
2011 YU74,4.589,0.765,0.728,23.0,1.280
2010 KE,4.596,0.766,0.730,26.7,1.298
2011 QE23,4.596,0.766,0.730,25.8,1.441
2013 YR2,4.598,0.766,0.730,24.2,1.248
2015 FM120,4.598,0.766,0.730,26.2,1.208
2011 UX275,4.599,0.766,0.730,25.8,1.035
2010 XT10,4.599,0.767,0.730,26.5,1.389
2014 KO62,4.604,0.767,0.731,26.2,1.127
2001 KM20,4.605,0.767,0.731,23.6,1.184
2012 VB37,4.605,0.767,0.731,25.2,1.452
2007 UD6,4.608,0.768,0.731,28.3,1.232
2015 BH92,4.611,0.769,0.732,25.0,1.373
2012 HC25,4.612,0.769,0.732,25.8,1.209
2016 ED86,4.613,0.769,0.732,25.3,1.317
1998 HG49,4.615,0.769,0.732,21.7,1.201
2005 HB4,4.616,0.769,0.733,24.4,1.355
2016 AK165,4.616,0.769,0.733,23.8,1.289
2008 VA15,4.617,0.769,0.733,23.7,1.450
2015 XA352,4.617,0.770,0.733,21.8,1.270
2006 HE2,4.618,0.770,0.733,26.5,1.065
2014 KO2,4.618,0.770,0.733,28.2,1.392
2012 FA14,4.619,0.770,0.733,23.1,1.414
2004 KE1,4.619,0.770,0.733,21.6,1.299
2008 UL3,4.620,0.770,0.733,25.4,1.293
2011 JV10,4.623,0.771,0.734,29.7,1.140
2015 EF7,4.624,0.771,0.734,24.4,1.209
2007 HB15,4.626,0.771,0.734,27.7,1.256
2014 KQ84,4.626,0.771,0.734,26.7,1.403
1997 UR,4.626,0.771,0.734,23.2,1.459
2011 GJ3,4.627,0.771,0.734,26.2,1.142
2009 ET,4.627,0.771,0.734,27.3,1.442
2008 MQ1,4.627,0.771,0.734,24.2,1.392
2014 JN25,4.627,0.771,0.734,26.5,1.310
2015 DP155,4.630,0.772,0.735,21.6,1.317
2006 BP147,4.630,0.772,0.735,26.5,1.287
2013 QE11,4.631,0.772,0.735,26.4,1.293
2012 EJ5,4.632,0.772,0.735,27.7,1.472
1998 SF36,4.632,0.772,0.735,19.2,1.324
2014 HA198,4.633,0.772,0.735,28.7,1.236
2011 OR5,4.633,0.772,0.735,25.9,1.396
2010 JT39,4.634,0.772,0.736,23.6,1.202
2004 SU55,4.636,0.773,0.736,24.7,1.376
2014 HR198,4.636,0.773,0.736,28.5,1.378
2009 SC170,4.639,0.773,0.736,28.0,1.417
2011 BQ50,4.640,0.773,0.736,28.0,0.950
2010 VZ11,4.644,0.774,0.737,25.6,1.104
2009 WF54,4.644,0.774,0.737,25.8,1.439
2008 CX118,4.646,0.774,0.737,24.4,1.145
1999 JU3,4.646,0.774,0.737,19.2,1.190
2012 UL171,4.648,0.775,0.738,27.0,1.062
2012 VR76,4.648,0.775,0.738,27.6,1.083
2015 FA341,4.649,0.775,0.738,23.9,1.173
2004 FM32,4.651,0.775,0.738,27.1,1.099
2011 UH10,4.653,0.775,0.739,27.1,1.459
2009 DN4,4.655,0.776,0.739,26.0,1.229
2013 KB2,4.656,0.776,0.739,24.1,1.334
2009 KW2,4.657,0.776,0.739,26.6,1.362
2009 SN103,4.657,0.776,0.739,27.6,1.299
2015 FG36,4.658,0.776,0.739,23.7,1.100
2015 EO7,4.659,0.777,0.740,25.6,1.235
2015 VG150,4.660,0.777,0.740,25.7,1.434
2013 NJ4,4.660,0.777,0.740,27.4,1.134
2016 EE28,4.660,0.777,0.740,26.8,1.106
2011 YT62,4.662,0.777,0.740,22.4,1.199
2001 QE71,4.665,0.778,0.741,24.4,1.078
2012 VM6,4.666,0.778,0.741,25.1,1.128
2007 TF15,4.667,0.778,0.741,24.6,1.109
2006 BG99,4.668,0.778,0.741,25.7,1.411
2015 HC1,4.670,0.778,0.741,27.1,1.354
2014 HY197,4.670,0.778,0.741,28.6,1.415
2014 WE6,4.670,0.778,0.741,30.4,0.969
2015 JF11,4.672,0.779,0.742,21.2,1.073
1997 WB21,4.672,0.779,0.742,20.1,1.461
2008 WY94,4.673,0.779,0.742,25.6,1.177
2012 EM8,4.673,0.779,0.742,24.7,1.369
2009 XZ6,4.676,0.779,0.742,26.2,1.222
2015 HJ182,4.678,0.780,0.743,27.3,1.405
2007 VV6,4.678,0.780,0.743,24.8,1.416
2015 XV168,4.679,0.780,0.743,27.4,1.303
2010 GH7,4.681,0.780,0.743,27.3,1.411
2015 LE21,4.681,0.780,0.743,24.8,1.102
2009 YS,4.682,0.780,0.743,25.3,1.192
2004 JN1,4.682,0.780,0.743,23.6,1.085
2012 MD7,4.684,0.781,0.743,24.1,0.977
2006 BL55,4.684,0.781,0.743,24.3,1.450
2004 XG29,4.684,0.781,0.744,25.3,1.410
2011 HO24,4.685,0.781,0.744,25.0,1.181
2015 FK120,4.686,0.781,0.744,27.2,1.462
2012 XA,4.686,0.781,0.744,24.8,1.368
2007 HC,4.687,0.781,0.744,25.2,1.155
2012 FM35,4.687,0.781,0.744,27.3,1.011
2004 OW10,4.687,0.781,0.744,24.5,1.221
2009 WV7,4.688,0.781,0.744,25.9,1.463
2012 CO46,4.689,0.781,0.744,22.8,1.320
2005 ES1,4.691,0.782,0.745,26.8,1.355
2014 HL129,4.694,0.782,0.745,28.3,1.279
2015 GN50,4.695,0.782,0.745,20.2,1.302
2012 GP1,4.695,0.783,0.745,26.2,1.448
2010 UJ,4.696,0.783,0.745,26.2,0.945
2012 FC71,4.696,0.783,0.745,25.2,0.988
2010 VC140,4.697,0.783,0.746,27.9,1.482
2002 FB,4.703,0.784,0.746,26.6,1.205
2015 GW,4.703,0.784,0.746,25.4,1.376
2008 ST,4.703,0.784,0.747,27.1,0.964
2013 GW79,4.704,0.784,0.747,23.0,1.423
2015 DO215,4.705,0.784,0.747,26.6,1.206
2007 TT24,4.706,0.784,0.747,27.0,1.440
2012 RR16,4.708,0.785,0.747,24.5,1.380
1994 CJ1,4.709,0.785,0.747,21.4,1.491
2006 SU49,4.711,0.785,0.748,19.5,1.413
2014 JY54,4.712,0.785,0.748,27.9,1.281
2009 WG106,4.712,0.785,0.748,25.5,1.415
2012 KA42,4.713,0.785,0.748,27.3,1.303
